date,total_cons,moving_avg,norm_cons
2016-12-01,20742.3,21288.918,0.9743238242544782
2017-01-01,19613.94,21180.166666666668,0.9260522029256929
2017-02-01,18314.92,21003.341333333334,0.8720003026819986
2017-03-01,20189.29,20887.006,0.9665956911201156
2017-04-01,20002.05,20800.766,0.9616016064023796
2017-05-01,21552.12,20819.457333333332,1.0351912470597218
2017-06-01,21960.18,20902.394666666667,1.0506059401423606
2017-07-01,23694.47,21041.126,1.1261027570482682
2017-08-01,24380.17,21286.178000000004,1.1453521623280607
2017-09-01,24303.1,21441.558,1.1334577459343205
2017-10-01,24066.11,21591.465666666667,1.1146121514647216
2017-11-01,22474.03,21638.610666666667,1.0386078083386499
2017-12-01,20842.4,21622.612666666668,0.9639168180693798
2018-01-01,20682.18,21529.45333333333,0.9606458501191237
2018-02-01,18059.31,21348.510333333335,0.8459283443211674
2018-03-01,21130.26,21302.257999999998,0.9919258324633943
2018-04-01,20900.02,21267.678,0.9827128283586013
2018-05-01,22756.5,21335.881666666664,1.066583530764177
2018-06-01,22852.63,21439.791333333334,1.0658979672283502
2018-07-01,24564.57,21619.575,1.1362189127214573
2018-08-01,24897.54,21882.732,1.137771097320024
2018-09-01,24434.44,22043.281333333336,1.1084756225948451
2018-10-01,23371.45,22165.434666666664,1.054409730802482
2018-11-01,21954.32,22180.782,0.9897901706080516
2018-12-01,20749.08,22133.911333333333,0.9374339531555005
2019-01-01,20846.88,22042.565666666665,0.9457556037374174
2019-02-01,18354.26,21852.765666666666,0.8399055881515652
2019-03-01,20853.68,21772.262,0.9578095284725124
2019-04-01,20715.77,21698.433,0.9547127204992176
2019-05-01,22464.08,21724.068333333336,1.0340641382319349
2019-06-01,22768.45,21791.606666666667,1.0448265861382104
2019-07-01,24141.68,21942.531333333336,1.1002231070453523
2019-08-01,24838.6,22159.987333333334,1.1208760919568515
2019-09-01,24172.27,22292.753333333334,1.084310656407628
2019-10-01,23680.61,22415.372,1.0564451038332088
2019-11-01,22006.03,22430.502333333334,0.9810761111353918
2019-12-01,20745.49,22390.012666666666,0.9265510613526824
2020-01-01,19983.27,22266.306,0.8974667823212346
2020-02-01,20087.7,22123.223666666665,0.9079915433059779
2020-03-01,21299.98,22023.119666666666,0.9671645217565983
2020-04-01,20359.69,21899.572333333334,0.9296843650691078
2020-05-01,21917.07,21881.006999999998,1.0016481416965866
2020-06-01,22947.13,21951.164666666664,1.0453718674365253
2020-07-01,25444.27,22109.901,1.1508088616045815
2020-08-01,25232.73,22349.015,1.1290309662416889
2020-09-01,25362.27,22490.082,1.1277090941687096
2020-10-01,24040.36,22594.760000000002,1.0639794359400143
2020-11-01,22642.48,22590.959333333336,1.0022805878186254
2020-12-01,21922.52,22559.95566666667,0.9717448174063343
2021-01-01,21567.25,22460.045,0.9602496344063426
2021-02-01,19551.79,22281.853333333336,0.8774759310865223
2021-03-01,22571.73,22219.763,1.015840267963254
2021-04-01,21914.27,22171.190333333336,0.9884119738511709
2021-05-01,23687.96,22228.978333333333,1.0656342205560954
2021-06-01,24005.24,22337.517,1.0746601782104968
2021-07-01,25655.91,22497.818000000003,1.140373257531019
2021-08-01,25697.07,22742.57833333333,1.1299101457786926
2021-09-01,25767.28,22906.364999999998,1.1248960714631064
2021-10-01,25938.34,23080.450666666668,1.1238229432608422
2021-11-01,24157.75,23136.906333333332,1.0441218740292837
2021-12-01,22775.11,23137.128333333334,0.9843533593228257
2022-01-01,21936.97,23063.638,0.9511495974746049
2022-02-01,20200.68,22909.040666666664,0.881777648131403
2022-03-01,22873.54,22865.749666666667,1.0003406987939123
2022-04-01,21678.61,22799.016333333333,0.9508572511659092
2022-05-01,22773.99,22824.614999999998,0.9977819998278177
2022-06-01,23401.21,22913.139,1.0213009225841994
2022-07-01,25477.93,23096.29433333333,1.1031176530872926
2022-08-01,25887.64,23289.625666666667,1.1115524298465538
2022-09-01,26109.09,23449.929333333333,1.1133973850781185
2022-10-01,24956.86,23603.16833333333,1.0573521167814972
2022-11-01,22945.42,23637.446666666667,0.9707232901918057
2022-12-01,21617.9,23593.139000000003,0.9162790928328782
2023-01-01,20857.3,23440.239999999998,0.8898074422446187
2023-02-01,20265.98,23274.681666666664,0.8707307060196814
2023-03-01,21746.3,23154.14933333333,0.9391966721357129
2023-04-01,20821.21,23046.84433333333,0.9034299750046764
2023-05-01,22461.64,23040.816333333332,0.9748630289415816
2023-06-01,22879.72,23072.723,0.9916350142113698
2023-07-01,25114.46,23190.963333333333,1.082941645804853
2023-08-01,25727.8,23396.83033333333,1.099627583457138
2023-09-01,25811.82,23504.833333333332,1.0981494586219855
2023-10-01,24782.23,23600.431999999997,1.0500752698086206
2023-11-01,23197.96,23584.098666666665,0.9836271603115184
2023-12-01,22023.0,23518.023999999998,0.9364307137368344
2024-01-01,21977.75,23395.418666666665,0.9394040052513986
2024-02-01,19891.28,23201.892333333333,0.8573128309634859
2024-03-01,22016.86,23076.878333333334,0.9540657831608795
2024-04-01,21983.36,22945.045666666665,0.9580874372342719
2024-05-01,24138.2,22944.394000000004,1.052030400105577
